Name,Elevation_meters,Longitude,Latitude,Last_eruption,Region
Akaigawa Caldera,725,43.083,140.817,1.3 Ma BP,Hokkaido
Mount Atosanupuri,512,43.610,144.438,1000-200 BP,Hokkaido
Daisetsuzan Volcanic Group,2290,43.663,142.854,AD 1739,Hokkaido
Mount Eniwa,1320,42.793,141.285,17th century,Hokkaido
Mount Esan,613,41.804,141.166,AD 1874,Hokkaido
Akan Caldera [ja],-1,43.451,144.110,0.25 Ma BP,Hokkaido
Mount Meakan,1499,43.386,144.008,AD 2008,Hokkaido
Mount Oakan,1370,43.453,144.163,5-2.5 ka BP,Hokkaido
Mount Iō,1563,44.131,145.165,AD 1936,Hokkaido
Kussharo Caldera,-1,43.621,144.336,2.3 ka BP,Hokkaido
Kuttara Caldera,581,42.499,141.175,40 ka BP,Hokkaido
Mashū Caldera,855,43.570,144.565,1 ka BP,Hokkaido
Nigorigawa Caldera,356,42.12,140.45,15 ka BP,Hokkaido
Nipesotsu-Maruyama Volcanic Group,2013,43.453,143.036,AD 1898[† 2],Hokkaido
Niseko Volcanic Group,1309,42.88,140.63,6 ka BP,Hokkaido
Mount Onnebetsu,1330,43.993,145.013,0.2 Ma BP,Hokkaido
Oshima-Ōshima,737,41.50,139.37,AD 1759,Hokkaido
Mount Rausu,1661,44.075,145.122,700-500 BP,Hokkaido
Mount Rishiri,1721,45.18,141.25,8-2 ka BP,Hokkaido
Shikaribetsu Volcano Group,1430,43.312,143.096,20 ka BP or later,Hokkaido
Shikotsu Caldera,1320,42.753,141.327,50-40 ka BP,Hokkaido
Mount Shiribetsu,1107,42.767,140.916,Not known,Hokkaido
Tōya Caldera,-1,42.602,140.851,40-30 ka BP,Hokkaido
Mount Hokkaidō-Komagatake,1131,42.063,140.677,AD 2000,Hokkaido
Mount Shari,1547,43.765,144.717,0.25 Ma BP,Hokkaido
Mount Shiretoko,1254,44.235,145.273,0.2 Ma BP,Hokkaido
